Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,class
380,95,0,228,0,932,594,180,40.759063
237.5,237.5,0,228,0,932,594,7,26.258004
380,95,0,228,0,932,594,7,32.823194
332.5,142.5,0,228,0,932,594,180,39.779318
190,190,0,228,0,932,670,180,46.931942
237.5,237.5,0,228,0,932,594,90,33.116911
304,76,0,228,0,932,670,90,49.185149
139.6,209.4,0,192,0,1047,806.9,7,14.589312
198.6,132.4,0,192,0,978.4,825.5,7,14.638265
475,0,0,228,0,932,594,365,41.93462
198.6,132.4,0,192,0,978.4,825.5,3,9.13142
304,76,0,228,0,932,670,180,50.948829
332.5,142.5,0,228,0,932,594,28,33.019006
304,76,0,228,0,932,670,270,54.378283
266,114,0,228,0,932,670,270,51.732763
310,0,0,192,0,971,850.6,3,9.866402
190,190,0,228,0,932,670,270,50.655112
266,114,0,228,0,932,670,180,48.695621
342,38,0,228,0,932,670,270,55.064311
139.6,209.4,0,192,0,1047,806.9,360,44.69804
332.5,142.5,0,228,0,932,594,7,30.275581
190,190,0,228,0,932,670,28,40.856969
485,0,0,146,0,1120,800,28,71.988189
374,189.2,0,170.1,10.1,926.1,756.7,3,34.397958
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.799413
425,106.3,0,153.5,16.5,852.1,887.1,3,33.398217
425,106.3,0,151.4,18.6,936,803.7,3,36.300911
375,93.8,0,126.6,23.4,852.1,992.6,3,28.999361
475,118.8,0,181.1,8.9,852.1,781.5,3,37.797074
469,117.2,0,137.8,32.2,852.1,840.5,3,40.196451
425,106.3,0,153.5,16.5,852.1,887.1,3,33.398217
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.096147
531.3,0,0,141.8,28.2,852.1,893.7,3,41.299612
425,106.3,0,153.5,16.5,852.1,887.1,3,33.398217
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.200348
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.099664
362.6,189,0,164.9,11.6,944.7,755.8,3,35.301171
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.296095
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.599464
362.6,189,0,164.9,11.6,944.7,755.8,3,35.301171
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.400556
362.6,189,0,164.9,11.6,944.7,755.8,3,35.301171
439,177,0,186,11.1,884.9,707.9,3,39.300132
389.9,189,0,145.9,22,944.7,755.8,3,40.596347
362.6,189,0,164.9,11.6,944.7,755.8,3,35.301171
337.9,189,0,174.9,9.5,944.7,755.8,3,24.097186
374,189.2,0,170.1,10.1,926.1,756.7,7,46.201787
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.795775
425,106.3,0,153.5,16.5,852.1,887.1,7,49.201007
425,106.3,0,151.4,18.6,936,803.7,7,46.801631
375,93.8,0,126.6,23.4,852.1,992.6,7,45.698469
475,118.8,0,181.1,8.9,852.1,781.5,7,55.599345
469,117.2,0,137.8,32.2,852.1,840.5,7,54.896079
425,106.3,0,153.5,16.5,852.1,887.1,7,49.201007
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.901275
531.3,0,0,141.8,28.2,852.1,893.7,7,46.898158
425,106.3,0,153.5,16.5,852.1,887.1,7,49.201007
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.398217
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.096287
362.6,189,0,164.9,11.6,944.7,755.8,7,55.895819
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.800851
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.098106
362.6,189,0,164.9,11.6,944.7,755.8,7,55.895819
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,37.997022
362.6,189,0,164.9,11.6,944.7,755.8,7,55.895819
439,177,0,186,11.1,884.9,707.9,7,56.095767
389.9,189,0,145.9,22,944.7,755.8,7,59.094988
362.6,189,0,164.9,11.6,944.7,755.8,7,22.897498
337.9,189,0,174.9,9.5,944.7,755.8,7,35.101223
374,189.2,0,170.1,10.1,926.1,756.7,28,61.094468
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.798253
425,106.3,0,153.5,16.5,852.1,887.1,28,60.294676
425,106.3,0,151.4,18.6,936,803.7,28,61.797734
375,93.8,0,126.6,23.4,852.1,992.6,28,56.695611
475,118.8,0,181.1,8.9,852.1,781.5,28,68.299493
469,117.2,0,137.8,32.2,852.1,840.5,28,66.899856
425,106.3,0,153.5,16.5,852.1,887.1,28,60.294676
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.69717
531.3,0,0,141.8,28.2,852.1,893.7,28,56.399137
425,106.3,0,153.5,16.5,852.1,887.1,28,60.294676
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.495923
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.499441
362.6,189,0,164.9,11.6,944.7,755.8,28,71.298713
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.69783
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.200228
362.6,189,0,164.9,11.6,944.7,755.8,28,71.298713
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.699648
362.6,189,0,164.9,11.6,944.7,755.8,28,71.298713
439,177,0,186,11.1,884.9,707.9,28,65.996643
389.9,189,0,145.9,22,944.7,755.8,28,74.497882
362.6,189,0,164.9,11.6,944.7,755.8,28,71.298713
337.9,189,0,174.9,9.5,944.7,755.8,28,49.897378
374,189.2,0,170.1,10.1,926.1,756.7,56,63.397318
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.900376
425,106.3,0,153.5,16.5,852.1,887.1,56,64.300532
425,106.3,0,151.4,18.6,936,803.7,56,64.900376
375,93.8,0,126.6,23.4,852.1,992.6,56,60.19815
475,118.8,0,181.1,8.9,852.1,781.5,56,72.298453
469,117.2,0,137.8,32.2,852.1,840.5,56,69.299233
425,106.3,0,153.5,16.5,852.1,887.1,56,64.300532
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.199449
531.3,0,0,141.8,28.2,852.1,893.7,56,58.798513
425,106.3,0,153.5,16.5,852.1,887.1,56,64.300532
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.100064
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.69809
362.6,189,0,164.9,11.6,944.7,755.8,56,77.297154
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.199848
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.896079
362.6,189,0,164.9,11.6,944.7,755.8,56,77.297154
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.994824
362.6,189,0,164.9,11.6,944.7,755.8,56,77.297154
439,177,0,186,11.1,884.9,707.9,56,71.698609
389.9,189,0,145.9,22,944.7,755.8,56,79.400056
362.6,189,0,164.9,11.6,944.7,755.8,56,77.297154
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89478
374,189.2,0,170.1,10.1,926.1,756.7,91,64.900376
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.596487
425,106.3,0,153.5,16.5,852.1,887.1,91,65.196851
425,106.3,0,151.4,18.6,936,803.7,91,66.699908
375,93.8,0,126.6,23.4,852.1,992.6,91,62.500999
475,118.8,0,181.1,8.9,852.1,781.5,91,74.194512
469,117.2,0,137.8,32.2,852.1,840.5,91,70.698869
425,106.3,0,153.5,16.5,852.1,887.1,91,65.196851
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.598825
531.3,0,0,141.8,28.2,852.1,893.7,91,59.198409
425,106.3,0,153.5,16.5,852.1,887.1,91,65.196851
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.099545
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.497622
362.6,189,0,164.9,11.6,944.7,755.8,91,79.296635
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.495663
362.6,189,0,164.9,11.6,944.7,755.8,91,79.296635
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.800732
362.6,189,0,164.9,11.6,944.7,755.8,91,79.296635
439,177,0,186,11.1,884.9,707.9,91,73.298194
389.9,189,0,145.9,22,944.7,755.8,91,82.599225
362.6,189,0,164.9,11.6,944.7,755.8,91,79.296635
337.9,189,0,174.9,9.5,944.7,755.8,91,67.796175
222.36,0,96.67,189.29,4.46,967.08,870.32,3,11.576302
222.36,0,96.67,189.29,4.46,967.08,870.32,14,24.448819
222.36,0,96.67,189.29,4.46,967.08,870.32,28,24.890084
222.36,0,96.67,189.29,4.46,967.08,870.32,56,29.44752
222.36,0,96.67,189.29,4.46,967.08,870.32,100,40.713558
233.81,0,94.58,197.89,4.567,947.04,852.16,3,10.383509
233.81,0,94.58,197.89,4.567,947.04,852.16,14,22.139074
233.81,0,94.58,197.89,4.567,947.04,852.16,28,22.835445
233.81,0,94.58,197.89,4.567,947.04,852.16,56,27.661777
233.81,0,94.58,197.89,4.567,947.04,852.16,100,34.556537
194.68,0,100.52,165.62,7.48,1006.4,905.9,3,12.451937
194.68,0,100.52,165.62,7.48,1006.4,905.9,14,24.98661
194.68,0,100.52,165.62,7.48,1006.4,905.9,28,25.72435
194.68,0,100.52,165.62,7.48,1006.4,905.9,56,33.963588
194.68,0,100.52,165.62,7.48,1006.4,905.9,100,37.34202
190.68,0,125.4,162.14,7.77,1090,804.01,3,15.044366
190.68,0,125.4,162.14,7.77,1090,804.01,14,21.063492
190.68,0,125.4,162.14,7.77,1090,804.01,28,26.400036
190.68,0,125.4,162.14,7.77,1090,804.01,56,35.34254
190.68,0,125.4,162.14,7.77,1090,804.01,100,40.568768
212.07,0,121.62,180.31,5.69,1057.6,779.32,3,12.472621
212.07,0,121.62,180.31,5.69,1057.6,779.32,14,20.918702
212.07,0,121.62,180.31,5.69,1057.6,779.32,28,24.903873
212.07,0,121.62,180.31,5.69,1057.6,779.32,56,34.204904
212.07,0,121.62,180.31,5.69,1057.6,779.32,100,39.610396
229.97,0,118.31,195.47,4.63,1029.4,758.59,3,10.031876
229.97,0,118.31,195.47,4.63,1029.4,758.59,14,20.084436
229.97,0,118.31,195.47,4.63,1029.4,758.59,28,24.483293
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,31.536632
229.97,0,118.31,195.47,4.63,1029.4,758.59,100,35.34254
190.34,0,125.18,161.85,9.88,1088.1,802.59,3,9.445821
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.718234
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.468464
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.562393
190.34,0,125.18,161.85,9.88,1088.1,802.59,100,40.389504
166.09,0,163.27,176.46,4.49,1058.6,780.09,3,10.76272
166.09,0,163.27,176.46,4.49,1058.6,780.09,14,25.483033
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,21.53923
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,28.627044
166.09,0,163.27,176.46,4.49,1058.6,780.09,100,33.543007
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,7.74971
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,17.822955
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,24.241976
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.853531
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,39.231184
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,17.995324
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,30.385207
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.705364
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,50.773013
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.903234
213.76,98.06,24.52,181.74,6.65,1066,785.52,3,13.182781
213.76,98.06,24.52,181.74,6.65,1066,785.52,14,17.836744
213.76,98.06,24.52,181.74,6.65,1066,785.52,28,40.230925
213.76,98.06,24.52,181.74,6.65,1066,785.52,56,47.132579
213.76,98.06,24.52,181.74,6.65,1066,785.52,100,49.97322
229.68,0,118.16,195.23,6.13,1028.1,757.63,3,13.35515
229.68,0,118.16,195.23,6.13,1028.1,757.63,14,22.318338
229.68,0,118.16,195.23,6.13,1028.1,757.63,28,24.538451
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,31.350474
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,40.858348
238.05,0,94.11,186.66,7,949.91,847.01,3,19.932751
238.05,0,94.11,186.66,7,949.91,847.01,14,25.689876
238.05,0,94.11,186.66,7,949.91,847.01,28,30.233523
238.05,0,94.11,186.66,7,949.91,847.01,56,39.589712
238.05,0,94.11,186.66,7,949.91,847.01,100,44.298833
250,0,95.69,187.42,5.53,956.86,861.17,3,13.817099
250,0,95.69,187.42,5.53,956.86,861.17,14,24.917663
250,0,95.69,187.42,5.53,956.86,861.17,28,29.219993
250,0,95.69,187.42,5.53,956.86,861.17,56,38.327971
250,0,95.69,187.42,5.53,956.86,861.17,100,42.347616
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,13.541309
212.52,0,100.37,159.32,8.71,1007.8,903.59,14,26.310404
212.52,0,100.37,159.32,8.71,1007.8,903.59,28,31.640054
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,42.547564
212.52,0,100.37,159.32,8.71,1007.8,903.59,100,42.919881
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,13.334466
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,25.372717
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
212.57,0,100.39,159.35,10.37,1003.8,903.79,56,44.39536
212.57,0,100.39,159.35,10.37,1003.8,903.79,100,47.739318
212,0,124.78,159,7.84,1085.4,799.54,3,19.519066
212,0,124.78,159,7.84,1085.4,799.54,14,31.350474
212,0,124.78,159,7.84,1085.4,799.54,28,38.50034
212,0,124.78,159,7.84,1085.4,799.54,56,45.084836
212,0,124.78,159,7.84,1085.4,799.54,100,47.815161
231.75,0,121.62,173.96,6.72,1056.4,778.45,3,15.437368
231.75,0,121.62,173.96,6.72,1056.4,778.45,14,26.772353
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,33.729166
231.75,0,121.62,173.96,6.72,1056.4,778.45,56,42.699249
231.75,0,121.62,173.96,6.72,1056.4,778.45,100,45.836364
251.37,0,118.27,188.45,5.75,1028.4,757.73,3,17.22311
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,29.930153
251.37,0,118.27,188.45,5.75,1028.4,757.73,28,29.654363
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.969703
251.37,0,118.27,188.45,5.75,1028.4,757.73,100,43.581778
251.37,0,118.27,188.45,6.35,1028.4,757.73,3,13.120728
251.37,0,118.27,188.45,6.35,1028.4,757.73,14,24.428135
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,32.660478
251.37,0,118.27,188.45,6.35,1028.4,757.73,56,36.638755
251.37,0,118.27,188.45,6.35,1028.4,757.73,100,44.209201
181.38,0,167.01,169.59,7.56,1055.6,777.8,3,13.624046
181.38,0,167.01,169.59,7.56,1055.6,777.8,14,21.601283
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,27.772093
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.570067
181.38,0,167.01,169.59,7.56,1055.6,777.8,100,45.367521000000004
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.31534
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.504756
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.267737
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,43.499041
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,48.670111
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.398077
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.511132
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.116052
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.148447
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.153004
290.35,0,96.18,168.08,9.41,961.18,865,3,22.504497
290.35,0,96.18,168.08,9.41,961.18,865,14,34.673748
290.35,0,96.18,168.08,9.41,961.18,865,28,34.735801
290.35,0,96.18,168.08,9.41,961.18,865,56,45.084836
290.35,0,96.18,168.08,9.41,961.18,865,100,48.97348
277.05,0,97.39,160.6,11.83,973.9,875.61,3,23.138815
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885667
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.284004
277.05,0,97.39,160.6,11.83,973.9,875.61,56,51.035014
277.05,0,97.39,160.6,11.83,973.9,875.61,100,55.640713
295.71,0,95.64,171.54,8.87,955.14,859.2,3,22.945761
295.71,0,95.64,171.54,8.87,955.14,859.2,14,35.232224
295.71,0,95.64,171.54,8.87,955.14,859.2,28,39.941345
295.71,0,95.64,171.54,8.87,955.14,859.2,56,48.718374
295.71,0,95.64,171.54,8.87,955.14,859.2,100,52.041648
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.022123
251.81,0,99.94,146.14,12.35,1006,899.76,14,33.356849
251.81,0,99.94,146.14,12.35,1006,899.76,28,33.942903
251.81,0,99.94,146.14,12.35,1006,899.76,56,44.140254
251.81,0,99.94,146.14,12.35,1006,899.76,100,45.367521000000004
249.1,0,98.75,158.11,12.8,987.76,889.01,3,15.361525
249.1,0,98.75,158.11,12.8,987.76,889.01,14,28.682202
249.1,0,98.75,158.11,12.8,987.76,889.01,28,30.847156
249.1,0,98.75,158.11,12.8,987.76,889.01,56,42.030457
249.1,0,98.75,158.11,12.8,987.76,889.01,100,51.055698
252.31,0,98.75,146.25,14.17,987.76,889.01,3,21.780547
252.31,0,98.75,146.25,14.17,987.76,889.01,14,42.292458
252.31,0,98.75,146.25,14.17,987.76,889.01,28,50.600644
252.31,0,98.75,146.25,14.17,987.76,889.01,56,55.826872
252.31,0,98.75,146.25,14.17,987.76,889.01,100,60.949678
246.83,0,125.08,143.3,11.99,1086.8,800.89,3,23.524921
246.83,0,125.08,143.3,11.99,1086.8,800.89,14,42.216615
246.83,0,125.08,143.3,11.99,1086.8,800.89,28,52.503597
246.83,0,125.08,143.3,11.99,1086.8,800.89,56,60.322255
246.83,0,125.08,143.3,11.99,1086.8,800.89,100,66.424118000000007
275.07,0,121.35,159.48,9.9,1053.6,777.5,3,23.800712
275.07,0,121.35,159.48,9.9,1053.6,777.5,14,38.769235
275.07,0,121.35,159.48,9.9,1053.6,777.5,28,51.331488
275.07,0,121.35,159.48,9.9,1053.6,777.5,56,56.847296
275.07,0,121.35,159.48,9.9,1053.6,777.5,100,58.60546
297.16,0,117.54,174.8,9.52,1022.8,753.45,3,21.911547
297.16,0,117.54,174.8,9.52,1022.8,753.45,14,36.990387
297.16,0,117.54,174.8,9.52,1022.8,753.45,28,47.401475
297.16,0,117.54,174.8,9.52,1022.8,753.45,56,51.958911
297.16,0,117.54,174.8,9.52,1022.8,753.45,100,56.743875
213.74,0,174.74,154.79,10.16,1053.5,776.35,3,17.574743
213.74,0,174.74,154.79,10.16,1053.5,776.35,14,33.729166
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,40.148187
213.74,0,174.74,154.79,10.16,1053.5,776.35,56,46.643051
213.74,0,174.74,154.79,10.16,1053.5,776.35,100,50.076642
213.5,0,174.24,154.61,11.66,1052.3,775.48,3,17.3679
213.5,0,174.24,154.61,11.66,1052.3,775.48,14,33.701587
213.5,0,174.24,154.61,11.66,1052.3,775.48,28,45.939786
213.5,0,174.24,154.61,11.66,1052.3,775.48,56,51.43491
213.5,0,174.24,154.61,11.66,1052.3,775.48,100,59.301831
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3,30.44726
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14,47.711739
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,63.142212
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.824014
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.94812
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,27.420461
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14,35.956173
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.509713
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56,61.990787
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.528319
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3,18.016008
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,38.603761
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,52.200228
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.958392
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100,56.633559
218.85,0,124.13,158.49,11.33,1078.7,794.91,3,15.340841
218.85,0,124.13,158.49,11.33,1078.7,794.91,14,26.048403
218.85,0,124.13,158.49,11.33,1078.7,794.91,28,30.219733
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,37.266178
218.85,0,124.13,158.49,11.33,1078.7,794.91,100,46.229366
376,0,0,214.6,0,1003.5,762.36,3,16.278528
376,0,0,214.6,0,1003.5,762.36,14,25.620928
376,0,0,214.6,0,1003.5,762.36,28,31.971002
376,0,0,214.6,0,1003.5,762.36,56,36.300911
376,0,0,214.6,0,1003.5,762.36,100,43.057776
500,0,0,140,4,966,853,28,67.568648
475,0,59,142,1.9,1098,641,28,57.226508
315,137,0,145,5.9,1130,745,28,81.751169
505,0,60,195,0,1030,630,28,64.017847
451,0,0,165,11.25,1030,745,28,78.800212
516,0,0,162,8.2,801,802,28,41.36856
520,0,0,170,5.2,855,855,28,60.280887
528,0,0,185,6.86,920,720,28,56.833507
520,0,0,175,5.2,870,805,28,51.021224
385,0,136,158,20,903,768,28,55.551081
500.1,0,0,200,3,1124.4,613.2,28,44.133359
450.1,50,0,200,3,1124.4,613.2,28,39.375974
397,17.2,158,167,20.8,967,633,28,55.647608
333,17.5,163,167,17.9,996,652,28,47.277369
334,17.6,158,189,15.3,967,633,28,44.326412
405,0,0,175,0,1120,695,28,52.303649
200,200,0,190,0,1145,660,28,49.249271
516,0,0,162,8.26,801,802,28,41.36856
145,116,119,184,5.7,833,880,28,29.15794
160,128,122,182,6.4,824,879,28,39.396659
234,156,0,189,5.85,981,760,28,39.300132
250,180,95,159,9.45,860,800,28,67.865123
475,0,0,162,9.5,1044,662,28,58.522723
285,190,0,163,7.6,1031,685,28,53.57918
356,119,0,160,9.03,1061,657,28,58.998461
275,180,120,162,10.35,830,765,28,76.235361
500,0,0,151,9,1033,655,28,69.837024
165,0.02,143.57,163.81,0,1005.6,900.9,3,14.396259
165,128.5,132.1,175.06,8.08,1005.8,746.6,3,19.415644
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3,20.725649
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,14.940945
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3,21.291019
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3,23.076762
167,75.4,167,164.03,7.91,1007.3,770.1,3,15.520105
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3,15.816579
190.34,0,125.18,166.61,9.88,1079,798.9,3,12.548463
250,0,95.69,191.84,5.33,948.9,857.2,3,8.48745
213.5,0,174.24,159.21,11.66,1043.6,771.9,3,15.609737
194.68,0,100.52,170.17,7.48,998,901.8,3,12.176146
251.37,0,118.27,192.94,5.75,1043.6,754.3,3,11.983093
165,0.02,143.57,163.81,0,1005.6,900.9,14,16.878372
165,128.5,132.1,175.06,8.08,1005.8,746.6,14,33.087953
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,34.239378
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14,31.812423
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14,29.750889
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,33.005216
167,75.4,167,164.03,7.91,1007.3,770.1,14,32.901795
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,29.550941
190.34,0,125.18,166.61,9.88,1079,798.9,14,19.415644
250,0,95.69,191.84,5.33,948.9,857.2,14,24.655662
213.5,0,174.24,159.21,11.66,1043.6,771.9,14,29.59231
194.68,0,100.52,170.17,7.48,998,901.8,14,24.283345
251.37,0,118.27,192.94,5.75,1043.6,754.3,14,20.725649
165,0.02,143.57,163.81,0,1005.6,900.9,28,26.200088
165,128.5,132.1,175.06,8.08,1005.8,746.6,28,46.387945
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28,39.162237
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28,41.203086
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28,33.687797
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28,38.203865
167,75.4,167,164.03,7.91,1007.3,770.1,28,41.409929
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28,37.810864
190.34,0,125.18,166.61,9.88,1079,798.9,28,24.848715
250,0,95.69,191.84,5.33,948.9,857.2,28,27.220512
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,44.636676
194.68,0,100.52,170.17,7.48,998,901.8,28,37.266178
251.37,0,118.27,192.94,5.75,1043.6,754.3,28,33.274112
165,0.02,143.57,163.81,0,1005.6,900.9,56,36.562912
165,128.5,132.1,175.06,8.08,1005.8,746.6,56,53.72397
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,48.587374
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56,51.72449
