Input1,Input2,Input3,Input4,class
20,62,15,16,30
47,24,16,30,86
132,15,30,86,173
156,16,86,173,102
62,30,173,102,34
24,86,102,34,16
15,173,34,16,13
86,16,19,50,141
34,50,154,57,21
16,141,57,21,13
13,154,21,13,14
19,57,13,14,27
50,21,14,27,87
141,13,27,87,179
154,14,87,179,103
57,27,179,103,33
13,179,33,15,12
14,103,15,12,18
27,33,12,18,45
87,15,18,45,136
179,12,45,136,166
103,18,136,166,61
33,45,166,61,20
15,136,61,20,12
12,166,20,12,13
45,20,13,23,0
86,22,32,72,138
141,21,72,138,111
22,138,48,23,19
111,27,129,129,58
19,129,27,19,24
112,20,37,92,152
30,92,93,36,20
93,29,146,117,46
117,22,128,142,62
22,62,17,19,37
100,17,27,72,154
86,27,154,118,43
32,72,118,43,20
33,33,14,22,58
92,16,22,58,149
14,137,20,15,16
15,169,28,15,14
169,14,65,160,133
28,65,133,45,18
15,160,45,18,14
14,133,18,14,16
20,45,12,14,30
163,12,30,98,185
14,145,58,19,11
13,100,12,10,13
100,13,114,206,82
27,30,206,82,21
10,206,21,11,9
82,10,120,215,77
11,120,77,20,10
10,77,10,8,9
215,5,3,4,19
3,125,30,28,41
19,30,41,71,98
125,41,98,79,49
30,98,49,34,33
49,75,76,48,34
96,34,81,99,76
34,76,32,33,49
85,30,49,85,106
43,85,74,43,31
106,31,87,109,76
87,29,47,87,110
88,28,45,86,117
28,117,42,26,26
28,82,26,26,43
119,25,80,121,90
96,35,123,102,50
102,31,121,110,53
121,21,57,117,120
27,117,59,28,20
28,59,20,25,49
117,20,49,109,128
120,25,109,128,68
59,49,128,68,31
49,31,23,43,98
23,77,22,22,36
43,34,22,36,86
73,23,26,59,129
107,26,129,125,55
26,55,18,22,47
59,24,22,47,114
22,68,18,19,36
47,28,19,36,93
36,34,18,28,72
93,19,28,72,147
147,16,53,131,137
112,23,131,137,58
23,58,16,19,38
137,19,104,156,80
24,104,80,30,17
112,21,132,145,59
40,51,145,59,22
132,15,32,96,164
15,164,30,16,14
14,130,19,13,17
19,113,75,25,14
17,75,14,13,24
123,16,118,170,71
17,118,71,24,13
33,24,11,17,51
77,13,12,30,107
12,82,10,9,12
23,36,192,64,18
12,64,10,8,13
64,13,148,195,58
18,37,195,58,16
13,58,9,8,10
37,16,8,10,29
67,7,66,237,137
237,6,4,5,25
4,233,12,7,7
51,7,80,201,109
29,38,169,63,20
11,173,34,14,11
14,67,11,11,20
122,11,20,64,169
21,64,131,39,13
131,12,100,188,88
39,28,188,88,25
13,100,88,25,11
88,14,141,176,57
41,17,10,16,56
17,56,149,41,14
8,196,32,11,8
196,8,17,66,207
7,131,10,7,6
30,12,193,172,39
6,172,11,7,6
86,8,4,3,2
8,2,7,23,8
2,6,16,33,57
23,16,57,65,56
8,65,46,46,54
64,46,58,67,67
59,58,67,60,50
60,50,52,61,71
69,46,61,71,68
68,52,71,68,58
58,61,68,58,48
46,68,47,45,53
53,56,45,53,65
65,46,55,67,74
67,55,74,66,54
55,54,46,55,70
67,44,55,70,76
76,46,73,77,65
51,73,65,52,44
45,77,52,44,46
73,44,59,75,78
64,61,79,63,47
63,63,79,61,46
46,84,60,46,42
60,68,80,59,43
80,50,88,79,56
56,73,78,55,41
41,91,55,41,40
52,54,40,52,79
94,40,79,95,76
52,50,38,52,80
95,38,80,97,76
97,37,83,98,74
76,54,98,74,47
37,74,34,37,53
83,34,53,85,100
74,53,100,74,45
54,43,35,53,88
72,53,103,73,43
53,41,33,54,91
72,51,111,74,41
30,111,41,29,31
111,31,93,113,75
113,30,92,118,78
30,78,28,29,46
78,46,120,82,42
28,120,42,29,28
46,42,28,45,88
29,124,43,27,27
124,27,83,126,91
86,41,126,91,45
41,45,26,38,78
38,47,24,35,72
78,27,35,72,126
24,106,28,23,32
106,32,123,116,56
29,117,64,30,22
28,64,22,27,49
49,32,23,41,95
133,23,95,140,84
74,41,140,84,36
23,84,21,21,35
95,21,35,80,141
140,21,80,141,99
35,42,20,29,67
42,67,117,49,24
29,49,18,25,52
18,134,26,18,20
122,18,41,104,148
18,151,39,19,17
32,39,17,25,62
62,22,21,44,116
52,44,150,71,27
21,71,18,18,32
150,18,88,159,98
27,88,98,36,19
18,98,19,16,25
159,16,61,146,132
113,16,28,77,163
28,77,114,39,19
16,163,39,19,15
28,39,15,20,47
77,19,20,47,132
39,47,156,62,24
16,102,16,13,19
30,34,13,19,50
173,13,50,141,154
102,19,141,154,57
21,87,103,33,15
18,61,12,13,23
